dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,lymph_node,dorothea_ab,0,638,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,1224,TP53,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,788,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,522,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,1240,TP53,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,2064,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,241,NFAT5,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,41,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,918,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,57,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,1928,ETS1,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,524,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,538,NFKB1,VIM,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,377,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,843,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,520,MYC,RPS15A,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,297,MYC,RPL27A,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,293,MYC,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,286,MYC,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,1918,ETS1,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,1106,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,346,E2F4,RPS15,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,2054,ETS1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,40,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,992,JUN,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,916,JUN,VIM,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,823,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,97,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,44,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,1595,CTCF,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,295,MYC,RPS15,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,190,MYC,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,780,MYC,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,893,TP53,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,796,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,1486,E2F4,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,296,MYC,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,895,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,301,MYC,RPL10,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,1303,STAT1,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,111,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,239,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,344,E2F4,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,483,NFYB,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,0,347,E2F4,RPL23A,caliper_candidates_exhausted_by_unique_constraint,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,1106,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,41,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,918,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,57,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,293,MYC,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,111,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,2054,ETS1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,1303,STAT1,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,1595,CTCF,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,538,NFKB1,VIM,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,843,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,241,NFAT5,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,295,MYC,RPS15,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,2064,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,823,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,301,MYC,RPL10,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,524,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,1918,ETS1,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,97,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,780,MYC,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,344,E2F4,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,796,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,296,MYC,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,1224,TP53,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,239,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,377,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,1240,TP53,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,638,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,286,MYC,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,1928,ETS1,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,40,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,44,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,483,NFYB,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,1486,E2F4,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,190,MYC,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,992,JUN,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,346,E2F4,RPS15,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,297,MYC,RPL27A,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,916,JUN,VIM,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,788,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,520,MYC,RPS15A,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,895,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,893,TP53,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,522,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,1,347,E2F4,RPL23A,caliper_candidates_exhausted_by_unique_constraint,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,1106,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,297,MYC,RPL27A,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,796,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,2054,ETS1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,286,MYC,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,780,MYC,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,483,NFYB,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,293,MYC,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,1240,TP53,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,893,TP53,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,992,JUN,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,1303,STAT1,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,788,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,823,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,522,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,239,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,377,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,524,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,97,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,1928,ETS1,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,241,NFAT5,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,111,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,dorothea_ab,2,40,NFKB1,CCL5,all_caliper_candidates_excluded,False
