tf,target,mode,pearson,spearman,mutual_information,coexpression_probability,codetection_odds_ratio
AATF,BAX,Unknown,0.025848999619483948,0.04071463644504547,0.0054942095,0.05530344322323799,1.536504864692688
AATF,MYC,Unknown,0.027545759454369545,0.052611347287893295,0.0029221221,0.041326314210891724,1.524281620979309
AATF,TP53,Unknown,0.017125722020864487,0.03964810073375702,0.001128994,0.01918073371052742,1.5262956619262695
AHR,MT2A,Unknown,0.010639580897986889,0.023519011214375496,0.0011075602,0.0204513818025589,1.3349007368087769
AHR,MYC,Unknown,-0.0065580857917666435,0.014528312720358372,0.0006885324,0.01639741100370884,1.22445809841156
AHR,PCNA,Unknown,-0.003633046755567193,0.0213528573513031,0.0002431181,0.005445634480565786,1.411673665046692
AIP,AHR,Unknown,-0.007296992931514978,0.011893255636096,0.0009968271,0.013856113888323307,1.2530200481414795
AIP,NFKB2,Unknown,0.006041646935045719,0.02578265592455864,0.018202618,0.056755613535642624,1.3424670696258545
AIP,RSF1,Unknown,0.0009467198979109526,0.016653889790177345,0.008214714,0.04084225744009018,1.2250056266784668
APBB1,GMPS,Unknown,-0.007554617710411549,0.0024383876007050276,4.4936473e-06,0.0037514369469136,1.061384677886963
APEX1,NFKB1,Unknown,0.009796070866286755,0.0361325666308403,0.0035379047,0.02995098941028118,1.517027497291565
APEX1,RELA,Unknown,0.011852088384330273,0.03645116090774536,0.0024593507,0.034186482429504395,1.4515124559402466
ARID1A,SMAD3,Unknown,0.008484127931296825,0.01351679116487503,0.00012452198,0.006776789668947458,1.2455530166625977
ASH1L,TGFB1,Unknown,0.01986907422542572,0.03533501550555229,0.007338406,0.042838990688323975,1.33018159866333
ASH1L,TIMP1,Unknown,0.01220640167593956,0.02773183211684227,0.001209896,0.022024566307663918,1.3157546520233154
ATF1,BCL2,Unknown,0.019719479605555534,0.03468175604939461,0.002080966,0.0191202275454998,1.4687697887420654
ATF1,LDHA,Unknown,0.0540962778031826,0.0763665959239006,0.0049330224,0.0798088014125824,1.8564510345458984
ATF1,MAP1LC3B,Unknown,0.0212442334741354,0.03630135580897331,0.0028195293,0.032673805952072144,1.4395402669906616
ATF1,SLC20A1,Unknown,0.012561541050672531,0.025234883651137352,0.00050659187,0.00804743729531765,1.5214310884475708
ATF1,USP7,Unknown,-0.001114584505558014,0.020322786644101143,0.00029512355,0.00786591600626707,1.3764159679412842
ATF2,FAS,Unknown,0.027062520384788513,0.04258963465690613,0.0013157777,0.011072790250182152,1.6507612466812134
ATF2,KAT5,Unknown,-0.0016409570816904306,0.010527512989938259,3.978131e-05,0.005203606095165014,1.1515889167785645
