dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,276,RORA,TUBA1B,LDHB,Activation,0.23151375322764606,0.25,0,2.3575716,2.2109284,0.7582743389606192,0.7689840866462277,0.24590701,0.1950747262055938,288
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,258,RELA,NFKBIA,TXN,Activation,0.24546453804365953,0.25,0,1.2340603,1.4307916,0.4717129545592527,0.474375264718387,0.13057321,0.1190173655230855,270
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,264,RELA,S100A6,LTB,Activation,0.22278526896741166,0.25,0,3.8940048,4.0331492,0.8535124341987423,0.8429842076603475,0.13057321,0.1190173655230855,276
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,201,NFKB1,NFKBIA,TXN,Activation,0.24546453804365953,0.25,0,1.2340603,1.4307916,0.4717129545592527,0.474375264718387,0.11804789,0.1009257578507906,210
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,238,RELA,CD69,MT2A,Activation,0.18290035556514367,0.25,0,0.8637791,0.90594697,0.3293398680946379,0.3423488836449533,0.13057321,0.1190173655230855,250
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,180,NFKB1,CD69,MT2A,Activation,0.18290035556514367,0.25,0,0.8637791,0.90594697,0.3293398680946379,0.3423488836449533,0.11804789,0.1009257578507906,189
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,129,JUN,TXN,NFKBIA,Activation,0.24546453804365953,0.25,0,1.4307916,1.2340603,0.474375264718387,0.4717129545592527,0.09759687,0.0778120651055843,134
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,81,HIF1A,ALDOA,HSPA8,Activation,0.05478016499293572,0.25,0,1.8180721,1.8292655,0.6981908392328834,0.6942578810432531,0.2684732,0.2056634597930549,82
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,440,ZNF224,ALDOA,EMP3,Repression,0.12530837173460657,0.25,0,1.8180721,1.739338,0.6981908392328834,0.7040600229927931,0.08452737,0.0806558964119316,454
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,101,IRF1,HLA-A,UBA52,Activation,0.28191943910245204,0.25,0,7.371811,7.2495565,0.9671446723545208,0.9848127306833212,0.9328636,0.4906516609185491,105
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,88,HIF1A,LDHA,CD7,Activation,0.22975388190479568,0.25,0,1.7660505,1.6802373,0.6299388878805309,0.6450656501483395,0.2684732,0.2056634597930549,91
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,154,MYC,LDHA,RPL23AP42,Activation,0.15570404035066784,0.25,0,1.7660505,1.7914957,0.6299388878805309,0.61862406970421,0.60675657,0.285230229321708,160
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,148,MYC,HNRNPA1,ENSG00000283041,Activation,0.1308110923357375,0.25,0,4.3363776,4.4384775,0.92152235735481,0.924124160464873,0.60675657,0.285230229321708,154
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,80,HBP1,MIF,SRSF3,Repression,0.12258308193779582,0.25,0,1.2856312,1.1898993,0.5573304289950495,0.5549101470322001,0.09795976,0.091728686391965,81
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,89,HIF1A,MIF,MT-RNR1,Activation,0.27825893087079007,0.25,0,1.2856312,1.0957837,0.5573304289950495,0.5684637260241566,0.2684732,0.2056634597930549,92
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,391,TP53,HSP90AB1,PKM,Repression,0.08984703830519761,0.25,0,1.6422527,1.616421,0.6267925213288267,0.6205602952744895,0.14055775,0.1242209717432105,404
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,2,ATF1,LDHA,RPL23AP42,Activation,0.15570404035066784,0.25,0,1.7660505,1.7914957,0.6299388878805309,0.61862406970421,0.11586958,0.1066134204634853,2
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,310,STAT1,HLA-E,RPS3AP6,Activation,0.0762569363746406,0.25,0,1.8404909,1.8735427,0.7481696617657231,0.7433896048890956,0.62375486,0.3569915895201921,322
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,104,IRF1,SOCS1,SRM,Activation,0.03213502345428317,0.25,0,0.792205,0.77797776,0.3517274762509947,0.3537242088703454,0.9328636,0.4906516609185491,108
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,351,STAT3,SOCS1,SRM,Activation,0.03213502345428317,0.25,0,0.792205,0.77797776,0.3517274762509947,0.3537242088703454,0.33920252,0.2711320868881103,363
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,311,STAT1,HSP90AA1,MIF,Repression,0.16754386154985237,0.25,0,1.3283565,1.2856312,0.5691293035639402,0.5573304289950495,0.62375486,0.3569915895201921,323
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,368,STAT6,SOCS1,SRM,Activation,0.03213502345428317,0.25,0,0.792205,0.77797776,0.3517274762509947,0.3537242088703454,0.13862143,0.1250680704302076,381
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,93,HIF1A,SOCS1,SRM,Activation,0.03213502345428317,0.25,0,0.792205,0.77797776,0.3517274762509947,0.3537242088703454,0.2684732,0.2056634597930549,96
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,400,TP53,NME1,LGALS1,Activation,0.19823248215354855,0.25,0,0.5667047,0.5627724,0.2530404792158112,0.2383372662915066,0.14055775,0.1242209717432105,413
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,98,HSF1,UBB,CYBA,Activation,0.11592643801349818,0.25,0,1.4161407,1.3543105,0.6398620439282133,0.6333877896775912,0.17625993,0.1569552852907335,101
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,350,STAT3,S100A11,BOLA2B,Activation,0.10803486199203789,0.25,0,1.1062559,1.1136415,0.5186664246385306,0.5106794941611277,0.33920252,0.2711320868881103,362
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,166,NFIC,HMGB1,LIMD2,Activation,0.07349618640223289,0.25,0,1.220091,1.2398773,0.6471228898167615,0.6419797906457065,0.07926337,0.0736975857687413,172
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,302,SP3,UBC,ATP5MJ,Activation,0.17685699883257658,0.25,0,1.2222003,1.092449,0.6040418708780425,0.5984752223634889,0.083256744,0.0787801778907238,314
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,319,STAT1,S100A10,EIF2S2,Activation,0.1434688525945657,0.25,0,1.1754304,1.2661396,0.5810491922309734,0.5877049676288092,0.62375486,0.3569915895201921,331
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,181,NFKB1,CD74,GIMAP7,Activation,0.017408926788357017,0.25,0,1.0257558,1.0364031,0.5118896351425524,0.5127367338295497,0.11804789,0.1009257578507906,190
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,149,MYC,HNRNPA2B1,ARPC1B,Activation,0.06039355910635836,0.25,0,1.0637047,1.0618254,0.5760876142071322,0.5716100925758608,0.60675657,0.285230229321708,155
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,239,RELA,CD74,GIMAP7,Activation,0.017408926788357017,0.25,0,1.0257558,1.0364031,0.5118896351425524,0.5127367338295497,0.13057321,0.1190173655230855,251
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,244,RELA,CXCR4,BOLA2B,Activation,0.1688177479071542,0.25,0,0.9950035,1.1136415,0.5044472681067905,0.5106794941611277,0.13057321,0.1190173655230855,256
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,134,LEF1,MYC,RPL22L1,Activation,0.07151084380162294,0.25,0,0.60675657,0.57275736,0.285230229321708,0.2809342288376503,0.40497273,0.3056816119077852,140
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,399,TP53,MYC,RPL22L1,Repression,0.07151084380162294,0.25,0,0.60675657,0.57275736,0.285230229321708,0.2809342288376503,0.14055775,0.1242209717432105,412
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,256,RELA,MYC,RPL22L1,Activation,0.07151084380162294,0.25,0,0.60675657,0.57275736,0.285230229321708,0.2809342288376503,0.13057321,0.1190173655230855,268
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,66,ETS2,MYC,PIM3,Activation,0.1383755733469329,0.25,0,0.60675657,0.52556384,0.285230229321708,0.2781509045803735,0.053790268,0.0502208507291091,67
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,291,SMAD3,MYC,RPL22L1,Repression,0.07151084380162294,0.25,0,0.60675657,0.57275736,0.285230229321708,0.2809342288376503,0.069158815,0.0641979790645596,303
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,33,CREB1,UXT,TMEM258,Activation,0.005163639929383396,0.25,0,0.9346697,0.9360059,0.5546681188359152,0.5550311611303426,0.12131515,0.1104858716040434,34
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,435,YY1,MYC,RPL22L1,Repression,0.07151084380162294,0.25,0,0.60675657,0.57275736,0.285230229321708,0.2809342288376503,0.2520799,0.2130453197797422,449
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,220,PRDM1,MYC,PIM3,Repression,0.1383755733469329,0.25,0,0.60675657,0.52556384,0.285230229321708,0.2781509045803735,0.15743995,0.1087916742300492,229
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,122,JUN,MYC,RPL22L1,Activation,0.07151084380162294,0.25,0,0.60675657,0.57275736,0.285230229321708,0.2809342288376503,0.09759687,0.0778120651055843,127
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,43,E2F4,MYC,PIM3,Repression,0.1383755733469329,0.25,0,0.60675657,0.52556384,0.285230229321708,0.2781509045803735,0.22176345,0.1799479639377921,44
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,0,AHR,MYC,RPL22L1,Activation,0.07151084380162294,0.25,0,0.60675657,0.57275736,0.285230229321708,0.2809342288376503,0.054092813,0.0503418648272515,0
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,151,MYC,ID2,LGALS1,Activation,0.04403718620898951,0.25,0,0.5340345,0.5627724,0.2402734918617852,0.2383372662915066,0.60675657,0.285230229321708,157
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,347,STAT3,MYC,PIM3,Activation,0.1383755733469329,0.25,0,0.60675657,0.52556384,0.285230229321708,0.2781509045803735,0.33920252,0.2711320868881103,359
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,200,NFKB1,MYC,RPL22L1,Activation,0.07151084380162294,0.25,0,0.60675657,0.57275736,0.285230229321708,0.2809342288376503,0.11804789,0.1009257578507906,209
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,359,STAT4,MYC,PHB1,Activation,0.2130643723557207,0.25,0,0.60675657,0.45937037,0.285230229321708,0.2934591879953959,0.10800379,0.1003811944091496,371
