dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,246,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,87,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,135,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,102,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,428,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,184,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,183,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,235,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,176,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,247,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,25,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,118,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,89,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0,373,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,184,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,135,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,89,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,183,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,118,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,176,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,373,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,25,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,246,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,428,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,247,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,102,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,87,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,1,235,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,176,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,246,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,135,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,428,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,235,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,183,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,184,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,102,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,118,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,87,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,247,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,373,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,25,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,2,89,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,373,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,102,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,135,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,246,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,118,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,89,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,247,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,176,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,3,87,HIF1A,ENO1,all_caliper_candidates_excluded,False
