tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,TRRUST,,,0.112845646517821,0.3966842137109219,0.12373538,0.62054837,0.7024862880941252,5.105167957134004,0
AATF,MYC,Activation,TRRUST,,,0.112845646517821,0.285230229321708,0.12373538,0.60675657,0.6854629191836673,3.6029672870455456,1
AATF,TP53,Unknown,TRRUST,,,0.112845646517821,0.1242209717432105,0.12373538,0.14055775,0.11002863950442551,1.4328500323745565,2
AHR,MT2A,Unknown,TRRUST,,,0.0503418648272515,0.3423488836449533,0.054092813,0.90594697,1.0547568876045745,4.372824742291748,3
AHR,MYC,Activation,DoRothEA_AB,1.0,A,0.0503418648272515,0.285230229321708,0.054092813,0.60675657,0.6854629191836673,3.6029672870455456,4
AHR,PCNA,Activation,TRRUST,,,0.0503418648272515,0.0808979246082165,0.054092813,0.09172769,0.04975716476582758,0.8489327252176124,5
AIP,AHR,Activation,TRRUST,,,0.234948871543519,0.0503418648272515,0.28226933,0.054092813,0.0033040263016164027,0.4370916077396197,6
AIP,NFKB2,Repression,TRRUST,,,0.234948871543519,0.2034852060264915,0.28226933,0.25389338,0.24992004165564302,2.501190356921235,7
AIP,RSF1,Repression,TRRUST,,,0.234948871543519,0.1530223271011051,0.28226933,0.17250818,0.149465403142077,1.821040867858695,8
APBB1,GMPS,Repression,TRRUST,,,0.0523385974466016,0.0684334724995451,0.054758344,0.07170006,0.02503684298823841,0.6809341703651963,9
APEX1,NFKB1,Activation,TRRUST,,,0.2256912930356244,0.1009257578507906,0.2778519,0.11804789,0.08224447421035508,1.1188721507329042,10
APEX1,RELA,Activation,TRRUST,,,0.2256912930356244,0.1190173655230855,0.2778519,0.13057321,0.09770461306688845,1.3627147133584987,11
ARID1A,SMAD3,Unknown,TRRUST,,,0.0880377563986206,0.0641979790645596,0.093784824,0.069158815,0.021900156614679006,0.6238472827939859,12
ASH1L,TGFB1,Unknown,TRRUST,,,0.1496339323531175,0.239910449567358,0.16530736,0.3166334,0.32736073147927064,2.992137590033525,13
