dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,lymph_node,trrust,0,756,RORA,TUBA1B,LDHB,Unknown,0.23151375322764606,0.25,0,2.3575716,2.2109284,0.7582743389606192,0.7689840866462277,0.24590701,0.1950747262055938,784
GSE126030_T_cells,lymph_node,trrust,0,795,SLA2,CD69,MT2A,Unknown,0.18290035556514367,0.25,0,0.8637791,0.90594697,0.3293398680946379,0.3423488836449533,0.053669218,0.0508864282688924,823
GSE126030_T_cells,lymph_node,trrust,0,516,NFKB1,CD69,MT2A,Unknown,0.18290035556514367,0.25,0,0.8637791,0.90594697,0.3293398680946379,0.3423488836449533,0.11804789,0.1009257578507906,538
GSE126030_T_cells,lymph_node,trrust,0,560,NFKB1,S100A6,LTB,Activation,0.22278526896741166,0.25,0,3.8940048,4.0331492,0.8535124341987423,0.8429842076603475,0.11804789,0.1009257578507906,582
GSE126030_T_cells,lymph_node,trrust,0,684,RELA,CD69,MT2A,Unknown,0.18290035556514367,0.25,0,0.8637791,0.90594697,0.3293398680946379,0.3423488836449533,0.13057321,0.1190173655230855,712
GSE126030_T_cells,lymph_node,trrust,0,717,RELA,NFKBIA,TXN,Activation,0.24546453804365953,0.25,0,1.2340603,1.4307916,0.4717129545592527,0.474375264718387,0.13057321,0.1190173655230855,745
GSE126030_T_cells,lymph_node,trrust,0,301,HIVEP2,HLA-B,RPS10,Unknown,0.1822070906109473,0.25,0,7.687275,7.8157625,0.9751921098809948,0.9818478852788308,0.06480237,0.0614751618563548,313
GSE126030_T_cells,lymph_node,trrust,0,452,MYC,HLA-B,RPS10,Activation,0.1822070906109473,0.25,0,7.687275,7.8157625,0.9751921098809948,0.9818478852788308,0.60675657,0.285230229321708,471
GSE126030_T_cells,lymph_node,trrust,0,548,NFKB1,NFKBIA,TXN,Activation,0.24546453804365953,0.25,0,1.2340603,1.4307916,0.4717129545592527,0.474375264718387,0.11804789,0.1009257578507906,570
GSE126030_T_cells,lymph_node,trrust,0,729,RELA,S100A6,LTB,Activation,0.22278526896741166,0.25,0,3.8940048,4.0331492,0.8535124341987423,0.8429842076603475,0.13057321,0.1190173655230855,757
GSE126030_T_cells,lymph_node,trrust,0,587,NFKBIA,S100A6,LTB,Repression,0.22278526896741166,0.25,0,3.8940048,4.0331492,0.8535124341987423,0.8429842076603475,1.2340603,0.4717129545592527,610
GSE126030_T_cells,lymph_node,trrust,0,486,NFAT5,LTB,S100A6,Unknown,0.22278526896741166,0.25,0,4.0331492,3.8940048,0.8429842076603475,0.8535124341987423,0.057239108,0.0536697525261683,505
GSE126030_T_cells,lymph_node,trrust,0,451,MYC,HLA-A,ENSG00000244313,Activation,0.23660693391293008,0.25,0,7.371811,7.2491865,0.9671446723545208,0.980637744297406,0.60675657,0.285230229321708,470
GSE126030_T_cells,lymph_node,trrust,0,394,JUN,TXN,TRBC1,Unknown,0.17563618064346492,0.25,0,1.4307916,1.5377747,0.474375264718387,0.4657832637502717,0.09759687,0.0778120651055843,410
