tf,target,mode,pmid,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,22909821,0.112845646517821,0.3966842137109219,0.12373538,0.62054837,0.7024862880941252,5.105167957134004,0
AATF,MYC,Activation,20549547,0.112845646517821,0.285230229321708,0.12373538,0.60675657,0.6854629191836673,3.6029672870455456,1
AATF,TP53,Unknown,17157788,0.112845646517821,0.1242209717432105,0.12373538,0.14055775,0.11002863950442551,1.4328500323745565,2
AHR,MT2A,Unknown,23994556,0.0503418648272515,0.3423488836449533,0.054092813,0.90594697,1.0547568876045745,4.372824742291748,3
AHR,MYC,Unknown,11114727;16091746,0.0503418648272515,0.285230229321708,0.054092813,0.60675657,0.6854629191836673,3.6029672870455456,4
AHR,PCNA,Activation,12417031,0.0503418648272515,0.0808979246082165,0.054092813,0.09172769,0.04975716476582758,0.8489327252176124,5
AIP,AHR,Activation,11469723,0.234948871543519,0.0503418648272515,0.28226933,0.054092813,0.0033040263016164027,0.4370916077396197,6
AIP,NFKB2,Repression,21984905,0.234948871543519,0.2034852060264915,0.28226933,0.25389338,0.24992004165564302,2.501190356921235,7
AIP,RSF1,Repression,21984905,0.234948871543519,0.1530223271011051,0.28226933,0.17250818,0.149465403142077,1.821040867858695,8
APBB1,GMPS,Repression,21453247,0.0523385974466016,0.0684334724995451,0.054758344,0.07170006,0.02503684298823841,0.6809341703651963,9
APEX1,NFKB1,Activation,17045925,0.2256912930356244,0.1009257578507906,0.2778519,0.11804789,0.08224447421035508,1.1188721507329042,10
APEX1,RELA,Activation,17045925,0.2256912930356244,0.1190173655230855,0.2778519,0.13057321,0.09770461306688845,1.3627147133584987,11
ARID1A,SMAD3,Unknown,21900401,0.0880377563986206,0.0641979790645596,0.093784824,0.069158815,0.021900156614679006,0.6238472827939859,12
ASH1L,TGFB1,Unknown,22488473,0.1496339323531175,0.239910449567358,0.16530736,0.3166334,0.32736073147927064,2.992137590033525,13
ASH1L,TIMP1,Unknown,22488473,0.1496339323531175,0.1207115628970797,0.16530736,0.16573028,0.14109936737167775,1.3855494683869827,14
ATF1,BCL2,Unknown,10542244,0.1066134204634853,0.1349307194288143,0.11586958,0.15768246,0.13116585551789783,1.577198305233156,15
ATF1,LDHA,Unknown,9632793,0.1066134204634853,0.6299388878805309,0.11586958,1.7660505,2.1163920398237996,8.249024408377766,17
ATF1,MAP1LC3B,Activation,20514020,0.1066134204634853,0.2425727597264911,0.11586958,0.29400688,0.29943257147696106,3.0280207765068488,18
ATF1,SLC20A1,Activation,11722845,0.1066134204634853,0.0536697525261683,0.11586958,0.05578694,0.005395105704027067,0.48194559083127964,19
ATF1,USP7,Unknown,7642633,0.1066134204634853,0.0568766261269426,0.11586958,0.059780363,0.010324231194862754,0.525168519992333,20
ATF2,FAS,Unknown,19670268,0.0551219217038774,0.1361408604102384,0.058025673,0.1684531,0.14446017374479603,1.5935088445392116,21
ATF2,KAT5,Repression,18397884,0.0551219217038774,0.0839837841108488,0.058025673,0.0887023,0.04602289294720997,0.8905246004480657,22
ATF2,IMPDH2,Unknown,9278455,0.0551219217038774,0.3172989653294623,0.058025673,0.43904087,0.47844960452019425,4.035196578656231,23
ATF2,JUN,Activation,9502786,0.0551219217038774,0.0778120651055843,0.058025673,0.09759687,0.05700155754573169,0.8073408499871605,24
ATF2,PCK2,Unknown,11042264,0.0551219217038774,0.0575422036667259,0.058025673,0.06214012,0.01323690495391055,0.5341393166106644,25
ATF2,RELA,Activation,21350211,0.0551219217038774,0.1190173655230855,0.058025673,0.13057321,0.09770461306688845,1.3627147133584987,26
ATF4,ATG5,Activation,20038797,0.3981363828886315,0.0869486295153386,0.6284688,0.09384535,0.05237101556172951,0.9304854217479124,27
ATF4,CEBPB,Activation,16026328,0.3981363828886315,0.3387789677497505,0.6284688,0.49331647,0.5454425685739399,4.32470865133886,28
ATF4,DDIT3,Activation,16246168;17276738;20020050;21044953;21966512,0.3981363828886315,0.0657711623404114,0.6284688,0.070489965,0.023543209553755568,0.6450509838918648,29
ATF4,DDIT4,Activation,19059405;19439225,0.3981363828886315,0.2307738851576057,0.6284688,0.42887402,0.46590055086459536,2.8689930182728003,30
ATF4,HSPA5,Repression,16205636,0.3981363828886315,0.2177043625582251,0.6284688,0.29557768,0.30137142702043956,2.692839193767395,31
ATF4,IRF7,Repression,21148039,0.3981363828886315,0.1204695347007948,0.6284688,0.13408288,0.10203663696253418,1.3822873605257704,32
