dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
GSE126030_T_cells,blood,trrust,formal_abs,pearson,0,1292,1292,0.5,0.503357168189094,0.5167015753732296,1.0923076923076922,0.016371263191103935,0.016551464796066284,-0.00018020160496234894,0.006714336378188301
GSE126030_T_cells,blood,trrust,formal_abs,spearman,0,1292,1292,0.5,0.48850391549808775,0.5028872067105113,1.0307692307692307,0.03200832009315491,0.03394483029842377,-0.0019365102052688599,-0.022992169003824392
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,0,1292,1292,0.5,0.4884754598433801,0.49113283514863726,0.8923076923076924,0.007612430024892092,0.007464887574315071,0.00014754245057702065,-0.023049080313239823
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,0,1292,1292,0.5,0.5008024494627572,0.5021700648745939,1.0153846153846153,0.04229787178337574,0.04187234118580818,0.0004255305975675583,0.0016048989255144086
GSE126030_T_cells,blood,trrust,formal_abs,codetection_odds_ratio,0,1292,1292,0.5,0.478995832894018,0.49507102453185237,1.0153846153846153,1.4389618635177612,1.4780715703964233,-0.03910970687866211,-0.04200833421196404
GSE126030_T_cells,blood,trrust,formal_abs,pearson,1,1292,1292,0.5,0.511995705891938,0.5245135548175713,1.1384615384615384,0.016371263191103935,0.016207569278776646,0.00016369391232728958,0.023991411783875982
GSE126030_T_cells,blood,trrust,formal_abs,spearman,1,1292,1292,0.5,0.49430826999204436,0.508036557601792,1.0769230769230769,0.03200832009315491,0.03335640951991081,-0.0013480894267559052,-0.011383460015911173
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,1,1292,1292,0.5,0.488597968925227,0.4898662141828065,0.8769230769230769,0.007612430024892092,0.007421623915433884,0.00019080610945820808,-0.02280406214954611
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,1,1292,1292,0.5,0.5015743465383546,0.5017418572888328,1.0153846153846153,0.04229787178337574,0.041645389050245285,0.000652482733130455,0.0031486930767092858
GSE126030_T_cells,blood,trrust,formal_abs,codetection_odds_ratio,1,1292,1292,0.5,0.480962268400924,0.49637920338216124,1.0153846153846153,1.4389618635177612,1.471050202846527,-0.03208833932876587,-0.038075463198152026
GSE126030_T_cells,blood,trrust,formal_abs,pearson,2,1292,1292,0.5,0.5106385209289842,0.5247784031048951,1.0923076923076922,0.016371263191103935,0.015986927784979343,0.00038433540612459183,0.021277041857968637
GSE126030_T_cells,blood,trrust,formal_abs,spearman,2,1292,1292,0.5,0.49707206289718103,0.509015902746168,1.0461538461538462,0.03200832009315491,0.033282170072197914,-0.001273849979043007,-0.005855874205637934
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,2,1292,1292,0.5,0.4902630740254388,0.4939524039585151,0.8923076923076924,0.007612430024892092,0.007282675243914127,0.0003297547809779644,-0.019473851949122434
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,2,1292,1292,0.5,0.5010831120781374,0.5027473183460663,1.0,0.04229787178337574,0.04221276566386223,8.510611951351166e-05,0.0021662241562747653
GSE126030_T_cells,blood,trrust,formal_abs,codetection_odds_ratio,2,1292,1292,0.5,0.4819633083802203,0.49540672925128093,0.9692307692307692,1.4389618635177612,1.470250427722931,-0.03128856420516968,-0.03607338323955944
GSE126030_T_cells,blood,trrust,formal_abs,pearson,3,1292,1292,0.5,0.5197721870237422,0.5267716530262376,1.0923076923076922,0.016371263191103935,0.015551086515188217,0.0008201766759157181,0.03954437404748434
GSE126030_T_cells,blood,trrust,formal_abs,spearman,3,1292,1292,0.5,0.5036662864591821,0.5115688409420018,1.0769230769230769,0.03200832009315491,0.03220357559621334,-0.00019525550305843353,0.007332572918363978
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,3,1292,1292,0.5,0.49106851882027047,0.49326040874225535,0.9384615384615385,0.007612430024892092,0.007468587718904018,0.00014384230598807335,-0.017862962359459056
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,3,1292,1292,0.5,0.5021419619664714,0.5030824346749498,1.0153846153846153,0.04229787178337574,0.04190070927143097,0.0003971625119447708,0.004283923932942857
GSE126030_T_cells,blood,trrust,formal_abs,codetection_odds_ratio,3,1292,1292,0.5,0.4912811873975596,0.5014355470779479,0.9846153846153847,1.4389618635177612,1.4499598741531372,-0.010998010635375977,-0.01743762520488068
GSE126030_T_cells,blood,trrust,formal_abs,pearson,4,1292,1292,0.5,0.5196379961468047,0.5289055995460024,1.1076923076923078,0.016371263191103935,0.01617160253226757,0.00019966065883636475,0.039275992293609674
GSE126030_T_cells,blood,trrust,formal_abs,spearman,4,1292,1292,0.5,0.5036513097988096,0.5131520166695231,1.0923076923076922,0.03200832009315491,0.032025400549173355,-1.7080456018447876e-05,0.007302619597619131
GSE126030_T_cells,blood,trrust,formal_abs,mutual_information,4,1292,1292,0.5,0.48952921766718743,0.4912051415254794,0.9076923076923077,0.007612430024892092,0.007216276600956917,0.00039615342393517494,-0.020941564665625134
GSE126030_T_cells,blood,trrust,formal_abs,coexpression_probability,4,1292,1292,0.5,0.5018490184895857,0.5023007985782331,1.0153846153846153,0.04229787178337574,0.04207092151045799,0.0002269502729177475,0.003698036979171704
