dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
GSE126030_T_cells,blood,trrust,0,1292,1292,0,0,0.0,0,0,0.007404797856306658,-0.00041260706761505673
GSE126030_T_cells,blood,trrust,1,1292,1292,0,0,0.0,0,0,0.006040444722845608,-0.0003401683787061715
GSE126030_T_cells,blood,trrust,2,1292,1292,0,0,0.0,0,0,0.006995421968382602,-4.185789709845267e-05
GSE126030_T_cells,blood,trrust,3,1292,1292,0,0,0.0,0,0,0.007976719486611373,-0.0003601848521481818
GSE126030_T_cells,blood,trrust,4,1292,1292,0,0,0.0,0,0,0.006834618117764204,-0.00037062480613951263
GSE126030_T_cells,blood,trrust,5,1292,1292,0,0,0.0,0,0,0.008076848758211226,-0.0009647276881446328
GSE126030_T_cells,blood,trrust,6,1292,1292,0,0,0.0,0,0,0.006998577626019722,-0.0008577900879835311
GSE126030_T_cells,blood,trrust,7,1292,1292,0,0,0.0,0,0,0.006870875764005016,-0.0006677947424207483
GSE126030_T_cells,blood,trrust,8,1292,1292,0,0,0.0,0,0,0.0058163681059389604,0.0001613980584251874
GSE126030_T_cells,blood,trrust,9,1292,1292,0,0,0.0,0,0,0.006817306013901933,-0.00013072951125277262
GSE126030_T_cells,blood,dorothea_ab,0,2550,2550,0,0,0.0,0,0,0.00312427822526329,-0.0008045805185268339
GSE126030_T_cells,blood,dorothea_ab,1,2550,2550,0,0,0.0,0,0,0.0030125961115679764,-0.0006121768108336212
GSE126030_T_cells,blood,dorothea_ab,2,2550,2550,0,0,0.0,0,0,0.0027699456540117543,-0.0006917841785879281
GSE126030_T_cells,blood,dorothea_ab,3,2550,2550,0,0,0.0,0,0,0.0030810157972757215,-0.0002842171655575875
GSE126030_T_cells,blood,dorothea_ab,4,2550,2550,0,0,0.0,0,0,0.0031343332249989153,-0.00039803700932698044
GSE126030_T_cells,blood,dorothea_ab,5,2550,2550,0,0,0.0,0,0,0.0032389016346686616,-0.0006756654322340544
GSE126030_T_cells,blood,dorothea_ab,6,2550,2550,0,0,0.0,0,0,0.0035883134993754543,-0.0007728666156826936
GSE126030_T_cells,blood,dorothea_ab,7,2550,2550,0,0,0.0,0,0,0.003003644345952217,-0.0005753215440439033
GSE126030_T_cells,blood,dorothea_ab,8,2550,2550,0,0,0.0,0,0,0.0027218658382120943,-0.0003837237644167551
GSE126030_T_cells,blood,dorothea_ab,9,2550,2550,0,0,0.0,0,0,0.0029783050155710797,-0.0003503950172438913
GSE126030_T_cells,blood,trrust_dorothea_intersection,0,529,529,0,0,0.0,0,0,0.008928162713323478,-0.0006128592923626247
GSE126030_T_cells,blood,trrust_dorothea_intersection,1,529,529,0,0,0.0,0,0,0.008734652732494198,-0.0005557887334238037
GSE126030_T_cells,blood,trrust_dorothea_intersection,2,529,529,0,0,0.0,0,0,0.009755415069449422,-0.0011594496922001842
GSE126030_T_cells,blood,trrust_dorothea_intersection,3,529,529,0,0,0.0,0,0,0.01051973107266764,-0.0007729485734870974
GSE126030_T_cells,blood,trrust_dorothea_intersection,4,529,529,0,0,0.0,0,0,0.0079282175030584,-0.0006014754324126397
GSE126030_T_cells,blood,trrust_dorothea_intersection,5,529,529,0,0,0.0,0,0,0.012419518239287594,8.474146917478624e-05
GSE126030_T_cells,blood,trrust_dorothea_intersection,6,529,529,0,0,0.0,0,0,0.009351512708757006,-0.001617374423458559
GSE126030_T_cells,blood,trrust_dorothea_intersection,7,529,529,0,0,0.0,0,0,0.010073752843761878,-0.0011427488912004312
