dataset,condition,edge_set,caliper_z,original_positive_edges,matched_positive_edges_common,matching_coverage,unmatched_positive_edges,unmatched_reasons,repeats,per_repeat_positive_edges,per_repeat_negative_min,per_repeat_negative_max,internal_duplicate_total,internal_duplicate_max,failed_matches_total_final,relaxed_fraction_max,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts_mean,smd_target_mean_counts_max_abs,smd_target_detection_rate_mean,smd_target_detection_rate_max_abs
GSE126030_T_cells,blood,trrust,0.25,1305,1292,0.9900383141762452,13,all_caliper_candidates_excluded:13,10,1292,1292,1292,0,0,0,0.0,0,0,0.0069831978419987294,0.008076848758211226,-0.00039850869730838725,0.0009647276881446328
GSE126030_T_cells,blood,dorothea_ab,0.25,2581,2550,0.9879891514916699,31,all_caliper_candidates_excluded:27; caliper_candidates_exhausted_by_unique_constraint:4,10,2550,2550,2550,0,0,0,0.0,0,0,0.003065319934689716,0.0035883134993754543,-0.0005548768056454249,0.0008045805185268339
GSE126030_T_cells,blood,trrust_dorothea_intersection,0.25,535,529,0.9887850467289719,6,all_caliper_candidates_excluded:6,10,529,529,529,0,0,0,0.0,0,0,0.009865565142041286,0.012419518239287594,-0.0007627708034258177,0.001617374423458559
GSE126030_T_cells,blood,trrust_dorothea_union,0.25,3351,3313,0.98866010146225,38,all_caliper_candidates_excluded:34; caliper_candidates_exhausted_by_unique_constraint:4,10,3313,3313,3313,0,0,0,0.0,0,0,0.003334676761506302,0.003606550794627021,-0.0005138222720049508,0.0007904786680504463
GSE126030_T_cells,lung,trrust,0.25,1166,1137,0.9751286449399656,29,all_caliper_candidates_excluded:29,10,1137,1137,1137,0,0,0,0.0,0,0,0.006581343871979217,0.007293238341372978,-0.001454268475182713,0.0021437599466620255
GSE126030_T_cells,lung,dorothea_ab,0.25,2156,2102,0.9749536178107606,54,all_caliper_candidates_excluded:52; caliper_candidates_exhausted_by_unique_constraint:2,10,2102,2102,2102,0,0,0,0.0,0,0,0.0036745735355449448,0.0038776262306153705,-0.0007473834796657208,0.0010920039254956396
GSE126030_T_cells,lung,trrust_dorothea_intersection,0.25,481,466,0.9688149688149689,15,all_caliper_candidates_excluded:15,10,466,466,466,0,0,0,0.0,0,0,0.01205436560959176,0.013524246239410013,-0.001981615894492929,0.0029881923352149814
GSE126030_T_cells,lung,trrust_dorothea_union,0.25,2841,2773,0.9760647659274904,68,all_caliper_candidates_excluded:66; caliper_candidates_exhausted_by_unique_constraint:2,10,2773,2773,2773,0,0,0,0.0,0,0,0.0038661806947113348,0.004294322862436865,-0.0009175070909911338,0.0011534731430876233
GSE126030_T_cells,lymph_node,trrust,0.25,1102,1071,0.9718693284936479,31,all_caliper_candidates_excluded:31,10,1071,1071,1071,0,0,0,0.0,0,0,0.008959399501190037,0.009963076503408151,-0.00033406246971726106,0.0008837983684498195
GSE126030_T_cells,lymph_node,dorothea_ab,0.25,2075,2029,0.9778313253012049,46,all_caliper_candidates_excluded:44; caliper_candidates_exhausted_by_unique_constraint:2,10,2029,2029,2029,0,0,0,0.0,0,0,0.0036984419269223295,0.004008083997328848,4.937997719727165e-05,0.0003207621476449029
GSE126030_T_cells,lymph_node,trrust_dorothea_intersection,0.25,455,441,0.9692307692307692,14,all_caliper_candidates_excluded:14,10,441,441,441,0,0,0,0.0,0,0,0.014214515072022677,0.01896902786786028,3.3968740417535786e-05,0.0009999901529472725
GSE126030_T_cells,lymph_node,trrust_dorothea_union,0.25,2722,2659,0.9768552534900808,63,all_caliper_candidates_excluded:61; caliper_candidates_exhausted_by_unique_constraint:2,10,2659,2659,2659,0,0,0,0.0,0,0,0.004051246636446718,0.00447285717136098,-9.769362346319623e-05,0.00038105294561162063
GSE126030_T_cells,bone_marrow,trrust,0.25,1229,1209,0.983726606997559,20,all_caliper_candidates_excluded:20,10,1209,1209,1209,0,0,0,0.0,0,0,0.006170688965062737,0.006830274699288597,-0.0016254980199008593,0.0023779671176673966
GSE126030_T_cells,bone_marrow,dorothea_ab,0.25,2257,2223,0.9849357554275587,34,all_caliper_candidates_excluded:30; caliper_candidates_exhausted_by_unique_constraint:4,10,2223,2223,2223,0,0,0,0.0,0,0,0.002121363077320598,0.002348730660704703,-0.0010320780771231157,0.0013652346214420754
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0.25,554,543,0.98014440433213,11,all_caliper_candidates_excluded:11,10,543,543,543,0,0,0,0.0,0,0,0.008673538536195962,0.010664319300976896,-0.0018083300609808139,0.0028103297791307485
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0.25,2932,2889,0.9853342428376535,43,all_caliper_candidates_excluded:39; caliper_candidates_exhausted_by_unique_constraint:4,10,2889,2889,2889,0,0,0,0.0,0,0,0.002574484935620197,0.002774936113367219,-0.0010698189378729257,0.0014113011397717079
