gene,mean_counts,detection_rate,zero_fraction
LINC01409,0.0053900694,0.005276595744680841,0.9947234042553191
NOC2L,0.28517374,0.22558865248228868,0.7744113475177113
PERM1,0.00028368796,0.00028368794326241134,0.9997163120567376
ENSG00000272512,0.00011347518,0.00011347517730496454,0.999886524822695
HES4,0.016510682,0.011574468085106352,0.9884255319148937
ISG15,1.6742706,0.49929078014189565,0.5007092198581043
AGRN,0.006921984,0.006865248226950339,0.9931347517730497
RNF223,0.00011347518,0.00011347517730496454,0.999886524822695
C1ORF159,0.029390235,0.028652482269503458,0.9713475177304965
TNFRSF18,0.69799984,0.22468085106384886,0.7753191489361512
TNFRSF4,2.8177667,0.38462411347521536,0.6153758865247847
SDF4,0.43752143,0.2914609929078284,0.7085390070921715
B3GALT6,0.15597263,0.12907801418440487,0.8709219858155951
UBE2J2,0.26151162,0.21503546099292573,0.7849645390070743
ACAP3,0.042780045,0.04113475177304952,0.9588652482269505
PUSL1,0.055829436,0.052822695035460825,0.9471773049645392
INTS11,0.1627813,0.14195744680851988,0.8580425531914802
CPTP,0.058722965,0.05565957446808493,0.9443404255319151
DVL1,0.013390112,0.013106382978723368,0.9868936170212766
MXRA8,0.0006241135,0.0006241134751773051,0.9993758865248227
AURKAIP1,0.8516707,0.46428368794330993,0.5357163120566901
CCNL2,0.12255127,0.11375886524823284,0.8862411347517671
MRPL20,0.7805725,0.40731914893621096,0.5926808510637891
VWA1,0.00022695036,0.00022695035460992908,0.99977304964539
ATAD3A,0.11290641,0.08646808510638562,0.9135319148936144
SSU72,0.787734,0.4979290780142359,0.5020709219857641
SSU72-AS1,0.012368827,0.012141843971631172,0.9878581560283688
FNDC10,0.0039716302,0.0037446808510638242,0.9962553191489362
ENSG00000272106,0.02065258,0.02048226950354604,0.979517730496454
MIB2,0.11903371,0.10655319148936673,0.8934468085106333
MMP23B,0.012198608,0.01151773049645387,0.9884822695035461
CDK11B,0.30826753,0.2505531914893838,0.7494468085106162
SLC35E2B,0.08516212,0.07903546099290956,0.9209645390070904
CDK11A,0.028141998,0.027404255319148852,0.9725957446808512
SLC35E2A,0.003460992,0.003460992907801414,0.9965390070921986
NADK,0.08771522,0.07807092198581725,0.9219290780141828
GNB1,0.28341356,0.2213900709220045,0.7786099290779955
GABRD,0.0,0.0,1.0
PRKCZ,0.03137606,0.03007092198581551,0.9699290780141845
FAAP20,0.32738948,0.25304964539009334,0.7469503546099067
SKI,0.04136164,0.03988652482269491,0.960113475177305
RER1,0.40716788,0.2904964539007361,0.7095035460992639
PEX10,0.041248173,0.03954609929078002,0.96045390070922
PANK4,0.032000154,0.031092198581560187,0.9689078014184398
HES5,0.00034042555,0.00034042553191489364,0.9996595744680851
ENSG00000272449,0.05225503,0.04936170212765942,0.9506382978723406
TNFRSF14-AS1,0.020425625,0.019858156028368736,0.9801418439716313
TNFRSF14,0.5911799,0.41361702127663724,0.5863829787233628
PRXL2B,0.059800997,0.05588652482269486,0.9441134751773052
MMEL1,0.005163119,0.00499290780141843,0.9950070921985815
PRDM16,0.00011347518,0.00011347517730496454,0.999886524822695
ENSG00000272235,0.0,0.0,1.0
ARHGEF16,0.00034042555,0.00034042553191489364,0.9996595744680851
MEGF6,0.0074893595,0.0074326241134751595,0.9925673758865249
TPRG1L,0.04374458,0.042723404255319015,0.9572765957446809
WRAP73,0.09327532,0.08680851063830056,0.9131914893616995
SMIM1,0.019404337,0.018496453900709166,0.9815035460992908
