gene,mean_counts,detection_rate,zero_fraction
LINC01409,0.0025506373,0.002550637659414854,0.9974493623405851
NOC2L,0.12063068,0.10997749437359136,0.8900225056264086
PERM1,0.0,0.0,1.0
ENSG00000272512,0.0,0.0,1.0
HES4,0.0046511623,0.0037509377344336105,0.9962490622655664
ISG15,0.8843032,0.4364591147787125,0.5635408852212875
AGRN,0.004051012,0.003900975243810955,0.996099024756189
RNF223,0.0,0.0,1.0
C1ORF159,0.018754717,0.01860465116279072,0.9813953488372092
TNFRSF18,0.32678032,0.14373593398349233,0.8562640660165077
TNFRSF4,0.8525094,0.20255063765940867,0.7974493623405914
SDF4,0.18754835,0.15783945986496206,0.8421605401350379
B3GALT6,0.040360063,0.03870967741935489,0.9612903225806451
UBE2J2,0.14583732,0.13278319579894668,0.8672168042010533
ACAP3,0.029407408,0.028957239309827496,0.9710427606901725
PUSL1,0.032708224,0.03180795198799704,0.968192048012003
INTS11,0.09767464,0.09092273068266948,0.9090772693173306
CPTP,0.035408873,0.035258814703675964,0.964741185296324
DVL1,0.010052516,0.009752438109527393,0.9902475618904726
MXRA8,0.0010502626,0.0010502625656414104,0.9989497374343586
AURKAIP1,0.49511582,0.34493623405851964,0.6550637659414804
CCNL2,0.07201791,0.06871717929482352,0.9312828207051764
MRPL20,0.5257223,0.3269317329332358,0.6730682670667643
VWA1,0.0,0.0,1.0
ATAD3A,0.04936226,0.04141035258814709,0.9585896474118529
SSU72,0.46330768,0.34493623405851964,0.6550637659414804
SSU72-AS1,0.014403616,0.01425356339084773,0.9857464366091523
FNDC10,0.0025506373,0.002550637659414854,0.9974493623405851
ENSG00000272106,0.010652669,0.010502625656414116,0.9894973743435859
MIB2,0.10307606,0.09512378094523494,0.904876219054765
MMP23B,0.015303845,0.015153788447111797,0.9848462115528882
CDK11B,0.21230471,0.17974493623405335,0.8202550637659467
SLC35E2B,0.06811689,0.06541635408852209,0.9345836459114779
CDK11A,0.025206348,0.024906226556639193,0.9750937734433608
SLC35E2A,0.0033008247,0.003300825206301577,0.9966991747936984
NADK,0.050112445,0.04666166541635415,0.9533383345836458
GNB1,0.13248388,0.11792948237059026,0.8820705176294097
GABRD,0.0,0.0,1.0
PRKCZ,0.022655703,0.022355588897224336,0.9776444111027757
FAAP20,0.28657138,0.23450862715678158,0.7654913728432184
SKI,0.03855963,0.03810952738184551,0.9618904726181545
RER1,0.18949883,0.1587396849212261,0.8412603150787739
PEX10,0.020855246,0.020255063765941512,0.9797449362340584
PANK4,0.019504905,0.019054763690922755,0.9809452363090773
HES5,0.0004501125,0.000450112528132033,0.999549887471868
ENSG00000272449,0.02715684,0.02640660165041264,0.9735933983495874
TNFRSF14-AS1,0.01695426,0.016504126031507898,0.9834958739684921
TNFRSF14,0.42084816,0.320030007501877,0.6799699924981231
PRXL2B,0.05161279,0.049062265566391663,0.9509377344336083
MMEL1,0.006901724,0.006751687921980502,0.9932483120780194
PRDM16,0.00030007501,0.0003000750187546887,0.9996999249812453
ENSG00000272235,0.0,0.0,1.0
ARHGEF16,0.0,0.0,1.0
MEGF6,0.0051012742,0.0051012753188297115,0.9948987246811702
TPRG1L,0.024756234,0.02475618904726185,0.9752438109527382
WRAP73,0.049962405,0.04636159039759946,0.9536384096024005
SMIM1,0.025356384,0.02415603900975247,0.9758439609902475
LRRC47,0.063165575,0.061665416354088606,0.9383345836459114
CEP104,0.041560374,0.03900975243810958,0.9609902475618904
DFFB,0.011552896,0.011552888222055527,0.9884471117779444
C1ORF174,0.08957253,0.0846211552888213,0.9153788447111787
