gene,mean_counts,detection_rate,zero_fraction
LINC01409,0.00379781,0.003707387648069442,0.9962926123519306
NOC2L,0.17515182,0.1474816891219818,0.8525183108780182
PERM1,0.0005425445,0.0005425445338638214,0.9994574554661362
ENSG00000272512,0.0,0.0,1.0
HES4,0.018717768,0.015372095126141577,0.9846279048738584
ISG15,0.7337779,0.3808662627724018,0.6191337372275982
AGRN,0.0038882336,0.003888235826024049,0.996111764173976
RNF223,0.00036169635,0.0003616963559092142,0.9996383036440908
C1ORF159,0.019350734,0.019079482774211017,0.980920517225789
TNFRSF18,0.7967162,0.2806763721855497,0.7193236278144504
TNFRSF4,1.5731347,0.24224613437019574,0.7577538656298043
SDF4,0.2917064,0.22153901799439327,0.7784609820056068
B3GALT6,0.054163963,0.05118003436115371,0.9488199656388463
UBE2J2,0.18672618,0.1633963287819872,0.8366036712180128
ACAP3,0.040781215,0.03960575097205888,0.9603942490279411
PUSL1,0.03607917,0.0348132742562618,0.9651867257437382
INTS11,0.13527581,0.11899810109413124,0.8810018989058688
CPTP,0.049371492,0.047563070802061576,0.9524369291979384
DVL1,0.015552926,0.015281671037164274,0.9847183289628357
MXRA8,0.000994665,0.0009042408897730357,0.999095759110227
AURKAIP1,0.55175793,0.36847816258251126,0.6315218374174887
CCNL2,0.08563234,0.08101998372366383,0.9189800162763362
MRPL20,0.5332219,0.33881906139795576,0.6611809386020442
VWA1,0.00045212044,0.0004521204448865178,0.9995478795551135
ATAD3A,0.0688129,0.05796184103445146,0.9420381589655485
SSU72,0.5228219,0.38140880730626564,0.6185911926937344
SSU72-AS1,0.015010382,0.014829550592277757,0.9851704494077222
FNDC10,0.0017180577,0.0016276336015914642,0.9983723663984085
ENSG00000272106,0.011031727,0.010941314766253712,0.9890586852337463
MIB2,0.07975457,0.07351478433854765,0.9264852156614524
MMP23B,0.00949452,0.009494529342616858,0.9905054706573831
CDK11B,0.26711124,0.22117732163848405,0.778822678361516
SLC35E2B,0.07848858,0.07179672664797888,0.9282032733520211
CDK11A,0.024776172,0.024143231756940005,0.97585676824306
SLC35E2A,0.0033456897,0.0033456912921602288,0.9966543087078398
NADK,0.05027573,0.04765349489103888,0.9523465051089611
GNB1,0.17442894,0.146939144588118,0.853060855411882
GABRD,0.0,0.0,1.0
PRKCZ,0.025770836,0.02504747264671304,0.974952527353287
FAAP20,0.23419793,0.19721493805949866,0.8027850619405014
SKI,0.031648394,0.03047291798535124,0.9695270820146488
RER1,0.28817952,0.2252464056424627,0.7747535943575373
PEX10,0.025318716,0.024685776290803825,0.9753142237091962
PANK4,0.024414476,0.023871959490008095,0.9761280405099919
HES5,9.042409e-05,9.042408897730355e-05,0.9999095759110227
ENSG00000272449,0.026946347,0.025770865358531465,0.9742291346414685
TNFRSF14-AS1,0.022877268,0.02242517406637124,0.9775748259336288
TNFRSF14,0.2126774,0.1790396961750607,0.8209603038249393
PRXL2B,0.045211993,0.0427705940862645,0.9572294059137355
MMEL1,0.000994665,0.0009946649787503392,0.9990053350212497
PRDM16,9.042409e-05,9.042408897730355e-05,0.9999095759110227
ENSG00000272235,0.0,0.0,1.0
ARHGEF16,9.042409e-05,9.042408897730355e-05,0.9999095759110227
MEGF6,0.006329681,0.006148838050456633,0.9938511619495434
TPRG1L,0.03110585,0.030382493896373937,0.9696175061036261
WRAP73,0.059951097,0.057509720589564946,0.9424902794104351
SMIM1,0.010760455,0.010398770232389892,0.9896012297676101
LRRC47,0.06682349,0.06374898272899888,0.9362510172710011
CEP104,0.058052193,0.05524911836513236,0.9447508816348676
DFFB,0.009856216,0.009765801609548768,0.9902341983904512
C1ORF174,0.102994256,0.09404105253639551,0.9059589474636045
NPHP4,0.0036169617,0.003616963559092139,0.9963830364409079
KCNAB2,0.13509528,0.12098743105163191,0.8790125689483681
RPL22,4.2974544,0.9191608644542888,0.0808391355457112
ICMT,0.04566411,0.043765259065014835,0.9562347409349852
ACOT7,0.02993034,0.027036802604213712,0.9729631973957863
TNFRSF25,0.26566517,0.1953160321909753,0.8046839678090247
PLEKHG5,0.00198933,0.0019893299575006783,0.9980106700424993
NOL9,0.05163209,0.04855773578081191,0.9514422642191881
ZBTB48,0.024324052,0.023871959490008095,0.9761280405099919
KLHL21,0.032100514,0.031196310697169667,0.9688036893028303
