gene,mean_counts,detection_rate,zero_fraction
LINC01409,0.0032068752,0.0030253524535608376,0.9969746475464392
NOC2L,0.1815243,0.15610818660373665,0.8438918133962634
PERM1,0.0002420282,0.0002420281962848672,0.9997579718037152
ENSG00000272512,0.0,0.0,1.0
HES4,0.007381864,0.005687662612694386,0.9943123373873056
ISG15,0.43825355,0.30816240091970587,0.6918375990802941
AGRN,0.0019362262,0.0019362255702789367,0.998063774429721
RNF223,0.0002420282,0.0002420281962848672,0.9997579718037152
C1ORF159,0.018938672,0.018454649966721203,0.9815453500332788
TNFRSF18,0.33877826,0.15278029890482028,0.8472197010951797
TNFRSF4,1.4669101,0.29212803291582873,0.7078719670841713
SDF4,0.24052112,0.19586131784351948,0.8041386821564805
B3GALT6,0.06934039,0.06310885218127771,0.9368911478187223
UBE2J2,0.17045094,0.15338536939553235,0.8466146306044676
ACAP3,0.037998132,0.036546257639014826,0.9634537423609851
PUSL1,0.039389767,0.03842197616022245,0.9615780238397775
INTS11,0.1188949,0.1091547165244766,0.8908452834755234
CPTP,0.04314115,0.042112906153566484,0.9578870938464336
DVL1,0.010104684,0.009802141949537152,0.9901978580504629
MXRA8,0.00042354933,0.00042354934349851767,0.9995764506565015
AURKAIP1,0.5300985,0.3716948024445021,0.6283051975554979
CCNL2,0.08815775,0.08295516427663807,0.9170448357233619
MRPL20,0.5586548,0.36183215344589087,0.6381678465541092
VWA1,0.0002420282,0.0002420281962848672,0.9997579718037152
ATAD3A,0.074422956,0.06286682398499283,0.9371331760150072
SSU72,0.54104763,0.3958976220729959,0.604102377927004
SSU72-AS1,0.013977138,0.013856114237308701,0.9861438857626913
FNDC10,0.0022992687,0.0022387608156350203,0.997761239184365
ENSG00000272106,0.011919897,0.011798874568887318,0.9882011254311127
MIB2,0.08791575,0.08089792460821657,0.9191020753917835
MMP23B,0.0058691874,0.005748169661765603,0.9942518303382344
CDK11B,0.24379005,0.20657106552912308,0.7934289344708769
SLC35E2B,0.08029198,0.07496823379923695,0.925031766200763
CDK11A,0.02740954,0.026925636836691604,0.9730743631633084
SLC35E2A,0.0041749887,0.004174986385913957,0.995825013614086
NADK,0.057057597,0.05385127367338194,0.9461487263266181
GNB1,0.14558028,0.12815392993283914,0.8718460700671609
GABRD,6.050705e-05,6.05070490712168e-05,0.9999394929509288
PRKCZ,0.023839671,0.023537242088703444,0.9764627579112966
FAAP20,0.24941789,0.21449748895745116,0.7855025110425489
SKI,0.02940624,0.02874084830882812,0.9712591516911718
RER1,0.24118753,0.20179100865249774,0.7982089913475022
PEX10,0.030192824,0.02958794699582516,0.9704120530041749
PANK4,0.021358918,0.020935438978641106,0.9790645610213589
HES5,0.00018152114,0.0001815211472136504,0.9998184788527863
ENSG00000272449,0.029164225,0.027954256670902296,0.9720457433290977
TNFRSF14-AS1,0.019059684,0.018636171113934855,0.9813638288860651
TNFRSF14,0.36268023,0.28529073637077923,0.7147092636292207
PRXL2B,0.054576818,0.05155200580867582,0.9484479941913242
MMEL1,0.0038724532,0.003751437042415438,0.9962485629575846
PRDM16,0.00018152114,0.0001815211472136504,0.9998184788527863
ENSG00000272235,0.0,0.0,1.0
ARHGEF16,0.00042354933,0.00042354934349851767,0.9995764506565015
MEGF6,0.0078054145,0.007744902281115769,0.9922550977188842
TPRG1L,0.030313842,0.029708961093967593,0.9702910389060324
WRAP73,0.05717858,0.055605978096447135,0.9443940219035528
SMIM1,0.02105639,0.020390875537000152,0.9796091244629999
LRRC47,0.06843273,0.0660131905366963,0.9339868094633037
CEP104,0.051612012,0.049494766140254554,0.9505052338597455
DFFB,0.013130038,0.013009015550311661,0.9869909844496884
C1ORF174,0.10038004,0.09203122163732116,0.9079687783626789
NPHP4,0.0032673823,0.0032673806498457044,0.9967326193501543
KCNAB2,0.12657939,0.11393477340110303,0.886065226598897
RPL22,7.0552197,0.9821504205241869,0.017849579475813115
ICMT,0.041568007,0.03957161009257551,0.9604283899074245
ACOT7,0.03255259,0.03019301748653733,0.9698069825134626
TNFRSF25,0.27500847,0.21740182731286908,0.7825981726871309
PLEKHG5,0.0021782545,0.0021782537665638035,0.9978217462334362
NOL9,0.05608948,0.05258062564288645,0.9474193743571135
ZBTB48,0.025594352,0.025170932413626307,0.9748290675863737
KLHL21,0.022387521,0.02190355176378058,0.9780964482362194
PHF13,0.013190546,0.013190536697525313,0.9868094633024747
THAP3,0.041870527,0.040479215828643715,0.9595207841713563
DNAJC11,0.03218954,0.03134265141889045,0.9686573485811095
CAMTA1,0.22079565,0.19023416227989726,0.8097658377201027
VAMP3,0.056452505,0.05433533006595165,0.9456646699340483
PER3,0.0072003435,0.007139831790403598,0.9928601682095964
PARK7,0.85469055,0.485206026502138,0.5147939734978619
ERRFI1,0.002420283,0.002299267864706237,0.9977007321352938
RERE,0.057844155,0.055605978096447135,0.9443940219035528
ENO1,3.0057914,0.7668058328796633,0.2331941671203367
GPR157,0.009620627,0.00943909965510985,0.9905609003448902
MIR34AHG,0.00090760563,0.0009076057360682523,0.9990923942639317
H6PD,0.028861685,0.02825679191625838,0.9717432080837416
SPSB1,0.016155386,0.015550311611302782,0.9844496883886972
SLC25A33,0.09874642,0.08470986869970347,0.9152901313002966
PIK3CD,0.08077599,0.07708598051672967,0.9229140194832703
CLSTN1,0.04894974,0.047558540569975716,0.9524414594300243
CTNNBIP1,0.029890299,0.029043383554184204,0.9709566164458158
LZIC,0.06643604,0.0628063169359216,0.9371936830640784
NMNAT1,0.013977138,0.013735100139166267,0.9862648998608338
RBP7,0.0001210141,6.05070490712168e-05,0.9999394929509288
UBE4B,0.036424972,0.035215102559448125,0.9647848974405518
KIF1B,0.013069532,0.012888001452169227,0.9871119985478308
PGD,0.05941731,0.0563320626853017,0.9436679373146983
