tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
TP53,BCL2,Repression,-1.0,A,0.1820924309487283,0.2813852278627349,0.22152007,0.47219273,0.15295179799713846,2.1908021606376797,0
MEF2D,ATF3,Activation,1.0,A,0.1826302514773989,0.0880171113473996,0.22258988,0.14093259,0.004903130239818428,0.4678476721212983,1
LEF1,TCF3,Activation,1.0,A,0.2566207561631501,0.1387144234811281,0.5130559,0.16467996,0.01551644004292407,0.9195724087047268,2
KLF10,CDKN1A,Activation,1.0,A,0.3380974753345251,0.2153878489650451,0.957887,0.5721349,0.19761852162188726,1.6027503025999923,3
MYC,WRN,Activation,1.0,A,0.1647523552829711,0.094823322865418,0.23737915,0.10835904,-0.00965482617964831,0.5284925855438878,4
MYC,TFAP4,Activation,1.0,A,0.1647523552829711,0.0545918745827169,0.23737915,0.0576469,-0.03231938451172744,0.1700211082013587,5
MYC,ST3GAL1,Activation,1.0,A,0.1647523552829711,0.2904910857792323,0.23737915,0.38478148,0.11388546448202842,2.2719374535274843,6
MYC,HLA-F,Activation,1.0,A,0.1647523552829711,0.7898852649526806,0.23737915,1.9656807,0.8204299445380544,6.721654697774465,7
MYC,HDAC2,Activation,1.0,A,0.1647523552829711,0.2282522687370383,0.23737915,0.29196766,0.0724045836236562,1.717375247951605,8
MYBL1,NCL,Activation,1.0,A,0.232523923740617,0.8926522588443935,0.4936176,3.6062045,1.5536221813528313,7.637332300617641,9
JUND,ITGAV,Repression,-1.0,A,0.9242476694423568,0.0548329665438453,5.299025,0.060978975,-0.03083019458197172,0.1721692931454803,10
IRF3,PURA,Repression,-1.0,A,0.3719245320345072,0.3105264459335894,0.494203,0.42003196,0.1296398096978641,2.4504571305511487,11
IRF3,IRF7,Activation,1.0,A,0.3719245320345072,0.2163027620483008,0.494203,0.36095887,0.10323852798975316,1.6109023890546004,12
IRF1,CASP7,Activation,1.0,A,0.6600912440341049,0.0851425533493265,2.7993789,0.096599616,-0.014910414904550305,0.4422346977875076,13
HSF2,MAPK8,Repression,-1.0,A,0.0769516085161072,0.1118913973442998,0.08467854,0.12524591,-0.0021076500959484957,0.6805730632548505,14
HSF2,MAP2K4,Repression,-1.0,A,0.0769516085161072,0.1126703098341003,0.08467854,0.1280285,-0.0008640391308174619,0.6875133530743296,15
JUN,TXN,Activation,1.0,A,0.4852995722168302,0.5322197769593888,1.781715,1.1535763,0.45747962247438045,4.42579580917326,16
JUN,TNFRSF10A,Activation,1.0,A,0.4852995722168302,0.0897418461462435,1.781715,0.100890346,-0.012992777424211236,0.483215456721573,17
JUN,TIMP2,Activation,1.0,A,0.4852995722168302,0.2951707425632028,1.781715,0.7161851,0.26199825713783403,2.313634274109686,18
JUN,POLD2,Activation,1.0,A,0.4852995722168302,0.1259674587671204,1.781715,0.14216587,0.005454314758945142,0.8059940149925567,19
JUN,PDHA1,Activation,1.0,A,0.4852995722168302,0.192045201651712,1.781715,0.22711818,0.04342168480958527,1.3947619346770281,20
