dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,762,SPI1,CTSS,CD74,Activation,0.18580798135080084,0.25,0,15.898513,15.493398,0.7494127247091145,0.7540985633382,1.7534617,0.3698845231326442,785
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,17,ATF3,CCL5,LST1,Activation,0.1551786625960776,0.25,0,5.4849777,5.163029,0.5062807546801764,0.4997589080394286,0.14093259,0.0880171113473996,17
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,1015,USF2,THBS1,IGHA1,Activation,0.1656572209150234,0.25,0,1.5104674,1.7215803,0.1340347666971786,0.1187532454687325,0.6658343,0.4316411562526773,1049
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,993,USF1,S100A6,RPS26,Activation,0.2441775056394595,0.25,0,18.290825,18.45853,0.9587114561932172,0.9847926609110428,0.10466375,0.0959113276130758,1026
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,972,TP53,THBS1,IGHA1,Activation,0.1656572209150234,0.25,0,1.5104674,1.7215803,0.1340347666971786,0.1187532454687325,0.22152007,0.1820924309487283,1003
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,73,CREB1,CCL5,LST1,Activation,0.1551786625960776,0.25,0,5.4849777,5.163029,0.5062807546801764,0.4997589080394286,0.43463948,0.3097475334437872,76
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,393,NFKB1,CCL5,LST1,Activation,0.1551786625960776,0.25,0,5.4849777,5.163029,0.5062807546801764,0.4997589080394286,0.6159069,0.3499851635717447,401
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,507,RELA,CCL5,LST1,Activation,0.1551786625960776,0.25,0,5.4849777,5.163029,0.5062807546801764,0.4997589080394286,0.28659898,0.23764867337588,523
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,307,JUND,CCL5,LST1,Activation,0.1551786625960776,0.25,0,5.4849777,5.163029,0.5062807546801764,0.4997589080394286,5.299025,0.9242476694423568,311
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,77,CREB1,FOS,TYROBP,Activation,0.2892129100234488,0.25,0,9.007235,8.658126,0.5457703815437629,0.5731003189833239,0.43463948,0.3097475334437872,80
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,1,AHR,FOS,TYROBP,Activation,0.2892129100234488,0.25,0,9.007235,8.658126,0.5457703815437629,0.5731003189833239,0.39844927,0.1982703197249447,1
NYGC_multimodal_PBMC,all,trrust_dorothea_intersection,0,42,CEBPA,GAPDH,CYBA,Activation,0.21138954745390595,0.25,0,8.194764,8.548897,0.925428401867364,0.941155015947039,0.2365706,0.1568025024108984,42
