tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AHR,CYP1B1,Activation,1.0,A,0.1982703197249447,0.1523639375880771,0.39844927,0.40816274,0.1243351503195322,1.0411927255410358,0
AHR,FOS,Activation,1.0,A,0.1982703197249447,0.5457703815437629,0.39844927,9.007235,3.9674814825100784,4.546534819365286,1
AHR,MYC,Activation,1.0,A,0.1982703197249447,0.1647523552829711,0.39844927,0.23737915,0.048007575941545276,1.1515763826696435,2
ARNT,BHLHE40,Activation,1.0,A,0.1289903810489583,0.2166736727577287,0.1504624,0.34329468,0.09534394762607835,1.61420728896863,3
ARNT,CYP1B1,Activation,1.0,A,0.1289903810489583,0.1523639375880771,0.1504624,0.40816274,0.1243351503195322,1.0411927255410358,4
ATF1,BCL2,Activation,1.0,A,0.153940308103146,0.2813852278627349,0.18076366,0.47219273,0.15295179799713846,2.1908021606376797,5
ATF1,LDHA,Activation,1.0,A,0.153940308103146,0.62687619000498,0.18076366,1.3056952,0.5254654673324698,5.269206267229968,6
ATF1,MAP1LC3B,Activation,1.0,A,0.153940308103146,0.5748003264015278,0.18076366,1.0498929,0.4111408470378026,4.805198319302218,7
ATF1,PLAUR,Activation,1.0,A,0.153940308103146,0.2705979080634899,0.18076366,1.0925252,0.43019431727551494,2.0946846548042046,8
ATF1,SLC20A1,Activation,1.0,A,0.153940308103146,0.2369810340989097,0.18076366,0.33589658,0.0920375466539136,1.7951505592617811,9
ATF2,ATF3,Activation,1.0,A,0.1649316287925279,0.0880171113473996,0.1904546,0.14093259,0.004903130239818428,0.4678476721212983,10
ATF2,CDKN1A,Activation,1.0,A,0.1649316287925279,0.2153878489650451,0.1904546,0.5721349,0.19761852162188726,1.6027503025999923,11
ATF2,DUSP1,Activation,1.0,A,0.1649316287925279,0.6385598773519083,0.1904546,5.4021,2.3562540229211106,5.373310614521451,12
ATF2,DUSP10,Activation,0.5,B,0.1649316287925279,0.0518594990232612,0.1904546,0.05674495,-0.032722489140867894,0.14567501216797618,13
ATF2,IMPDH2,Activation,1.0,A,0.1649316287925279,0.2164696718675434,0.1904546,0.27353987,0.06416873080051949,1.6123895940159143,14
ATF2,JUN,Activation,1.0,A,0.1649316287925279,0.4852995722168302,0.1904546,1.781715,0.7382109465081591,4.0077259700491465,15
ATF2,PCK2,Activation,1.0,A,0.1649316287925279,0.0666835637100868,0.1904546,0.07432793,-0.024864203612752128,0.2777608453989048,16
ATF3,CCL5,Activation,1.0,A,0.0880171113473996,0.5062807546801764,0.14093259,5.4849777,2.393294196459016,4.194673141853123,17
ATF3,DDIT3,Activation,1.0,A,0.0880171113473996,0.1333485818847369,0.14093259,0.15854393,0.012774090580598339,0.8717615232817569,18
