tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,TRRUST,,,0.3043322370861146,0.5263841151310817,0.3893635,0.90363324,0.3457736470793694,4.373798717192752,0
AATF,CDKN1A,Unknown,TRRUST,,,0.3043322370861146,0.2153878489650451,0.3893635,0.5721349,0.19761852162188726,1.6027503025999923,1
AATF,MYC,Activation,TRRUST,,,0.3043322370861146,0.1647523552829711,0.3893635,0.23737915,0.048007575941545276,1.1515763826696435,2
AATF,TP53,Unknown,TRRUST,,,0.3043322370861146,0.1820924309487283,0.3893635,0.22152007,0.04091974561624034,1.3060804536505521,3
ABL1,BAX,Activation,TRRUST,,,0.0562547909299875,0.5263841151310817,0.05980407,0.90363324,0.3457736470793694,4.373798717192752,4
ABL1,BCL2,Repression,TRRUST,,,0.0562547909299875,0.2813852278627349,0.05980407,0.47219273,0.15295179799713846,2.1908021606376797,5
ABL1,BCL6,Repression,TRRUST,,,0.0562547909299875,0.2115551049676229,0.05980407,0.49769422,0.16434906909750877,1.5685996701550147,6
ABL1,CCND2,Activation,TRRUST,,,0.0562547909299875,0.28315941742284,0.05980407,0.4242582,0.13152862494023732,2.206610598559862,7
ABL1,CDKN1A,Activation,TRRUST,,,0.0562547909299875,0.2153878489650451,0.05980407,0.5721349,0.19761852162188726,1.6027503025999923,8
ABL1,FOXO3,Activation,TRRUST,,,0.0562547909299875,0.2298471847875786,0.05980407,0.33652702,0.09231930648804554,1.731586317581935,9
ABL1,JUN,Activation,TRRUST,,,0.0562547909299875,0.4852995722168302,0.05980407,1.781715,0.7382109465081591,4.0077259700491465,10
ABL1,PIM1,Activation,TRRUST,,,0.0562547909299875,0.2800437674636311,0.05980407,0.41725427,0.1283983886686306,2.178849439281884,11
ABL1,TP53,Activation,TRRUST,,,0.0562547909299875,0.1820924309487283,0.05980407,0.22152007,0.04091974561624034,1.3060804536505521,12
AHR,ARNT,Unknown,TRRUST,,,0.1982703197249447,0.1289903810489583,0.39844927,0.1504624,0.009162247181809656,0.8329289492919024,13
AHR,ASAP1,Activation,DoRothEA_AB,0.5,B,0.1982703197249447,0.3131042753641253,0.39844927,0.5289721,0.17832795730383902,2.4734261849537607,14
AHR,CCNG2,Activation,TRRUST,,,0.1982703197249447,0.1675650948294665,0.39844927,0.21843287,0.039539996615650046,1.1766385403510387,15
AHR,CYP1B1,Activation,DoRothEA_AB,1.0,A,0.1982703197249447,0.1523639375880771,0.39844927,0.40816274,0.1243351503195322,1.0411927255410358,16
AHR,FOS,Activation,DoRothEA_AB,1.0,A,0.1982703197249447,0.5457703815437629,0.39844927,9.007235,3.9674814825100784,4.546534819365286,17
AHR,MT2A,Unknown,TRRUST,,,0.1982703197249447,0.540534358695695,0.39844927,1.6313721,0.6710188416815055,4.499880648912437,19
AHR,MYC,Activation,DoRothEA_AB,1.0,A,0.1982703197249447,0.1647523552829711,0.39844927,0.23737915,0.048007575941545276,1.1515763826696435,20
AHR,PCNA,Activation,TRRUST,,,0.1982703197249447,0.1225612620855348,0.39844927,0.16112904,0.013929442659801486,0.7756440174486644,21
AHR,VGLL4,Activation,DoRothEA_AB,0.5,B,0.1982703197249447,0.1434188076457061,0.39844927,0.16494544,0.015635089876001526,0.9614895559476758,22
AIP,AHR,Activation,TRRUST,,,0.4043606735741282,0.1982703197249447,0.5516655,0.39844927,0.11999395100469555,1.4502291715675015,23
AIP,NFKB2,Repression,TRRUST,,,0.4043606735741282,0.2591244034518001,0.5516655,0.47174475,0.1527515842250199,1.9924530841297468,24
AIP,RSF1,Repression,TRRUST,,,0.4043606735741282,0.5012672782577643,0.5516655,0.84982175,0.3217239095995255,4.150001911348682,25
