tf,target,mode,pmid,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,22909821,0.3043322370861146,0.5263841151310817,0.3893635,0.90363324,0.3457736470793694,4.373798717192752,0
AATF,CDKN1A,Unknown,17157788,0.3043322370861146,0.2153878489650451,0.3893635,0.5721349,0.19761852162188726,1.6027503025999923,1
AATF,MYC,Activation,20549547,0.3043322370861146,0.1647523552829711,0.3893635,0.23737915,0.048007575941545276,1.1515763826696435,2
AATF,TP53,Unknown,17157788,0.3043322370861146,0.1820924309487283,0.3893635,0.22152007,0.04091974561624034,1.3060804536505521,3
ABL1,BAX,Activation,11753601,0.0562547909299875,0.5263841151310817,0.05980407,0.90363324,0.3457736470793694,4.373798717192752,4
ABL1,BCL2,Repression,11753601,0.0562547909299875,0.2813852278627349,0.05980407,0.47219273,0.15295179799713846,2.1908021606376797,5
ABL1,BCL6,Repression,15509806,0.0562547909299875,0.2115551049676229,0.05980407,0.49769422,0.16434906909750877,1.5685996701550147,6
ABL1,CCND2,Activation,15509806,0.0562547909299875,0.28315941742284,0.05980407,0.4242582,0.13152862494023732,2.206610598559862,7
ABL1,CDKN1A,Activation,11753601;9916993,0.0562547909299875,0.2153878489650451,0.05980407,0.5721349,0.19761852162188726,1.6027503025999923,8
ABL1,FOXO3,Activation,15509806,0.0562547909299875,0.2298471847875786,0.05980407,0.33652702,0.09231930648804554,1.731586317581935,9
ABL1,JUN,Activation,15145216,0.0562547909299875,0.4852995722168302,0.05980407,1.781715,0.7382109465081591,4.0077259700491465,10
ABL1,PIM1,Activation,15145216,0.0562547909299875,0.2800437674636311,0.05980407,0.41725427,0.1283983886686306,2.178849439281884,11
ABL1,TP53,Activation,11753601,0.0562547909299875,0.1820924309487283,0.05980407,0.22152007,0.04091974561624034,1.3060804536505521,12
AHR,ARNT,Unknown,19255421;8631989,0.1982703197249447,0.1289903810489583,0.39844927,0.1504624,0.009162247181809656,0.8329289492919024,13
AHR,CCNG2,Activation,22596188,0.1982703197249447,0.1675650948294665,0.39844927,0.21843287,0.039539996615650046,1.1766385403510387,14
AHR,CYP1B1,Activation,16115918;19287966,0.1982703197249447,0.1523639375880771,0.39844927,0.40816274,0.1243351503195322,1.0411927255410358,15
AHR,FOS,Unknown,10478842,0.1982703197249447,0.5457703815437629,0.39844927,9.007235,3.9674814825100784,4.546534819365286,16
AHR,MT2A,Unknown,23994556,0.1982703197249447,0.540534358695695,0.39844927,1.6313721,0.6710188416815055,4.499880648912437,18
AHR,MYC,Unknown,11114727;16091746,0.1982703197249447,0.1647523552829711,0.39844927,0.23737915,0.048007575941545276,1.1515763826696435,19
AHR,PCNA,Activation,12417031,0.1982703197249447,0.1225612620855348,0.39844927,0.16112904,0.013929442659801486,0.7756440174486644,20
AIP,AHR,Activation,11469723,0.4043606735741282,0.1982703197249447,0.5516655,0.39844927,0.11999395100469555,1.4502291715675015,21
AIP,NFKB2,Repression,21984905,0.4043606735741282,0.2591244034518001,0.5516655,0.47174475,0.1527515842250199,1.9924530841297468,22
AIP,RSF1,Repression,21984905,0.4043606735741282,0.5012672782577643,0.5516655,0.84982175,0.3217239095995255,4.150001911348682,23
APBB1,GMPS,Repression,21453247,0.0576766153161296,0.2127914739990494,0.06250513,0.25825268,0.05733649280999933,1.5796160032017816,24
APC,AKT1,Repression,15888491,0.2452028881578962,0.2424148759920294,0.3372158,0.30322737,0.07743683732261851,1.8435673430023234,25
APC,DLG1,Unknown,21858148,0.2452028881578962,0.2588771296455137,0.3372158,0.33306128,0.09077037823548473,1.9902498175203833,26
APC,DNMT1,Repression,12538344,0.2452028881578962,0.4007690215378179,0.3372158,0.6294743,0.22324497272464922,3.2545392796382937,27
APC,KLF4,Unknown,12387883,0.2452028881578962,0.1942150293018656,0.3372158,0.3809811,0.11218697701543627,1.4140955991741049,28
APC,MYC,Repression,16510874,0.2452028881578962,0.1647523552829711,0.3372158,0.23737915,0.048007575941545276,1.1515763826696435,29
APC,ODC1,Repression,12112318,0.2452028881578962,0.24640216611838,0.3372158,0.37705782,0.1104335623811282,1.8790950170781475,30
APC,SGK1,Repression,18487207,0.2452028881578962,0.2128532924506207,0.3372158,0.72746253,0.267038430360083,1.5801668198541197,31
APEX1,NFKB1,Activation,17045925,0.4512623327815047,0.3499851635717447,0.75967747,0.6159069,0.2171813530723401,2.8020433997403007,32
APEX1,RELA,Activation,17045925,0.4512623327815047,0.23764867337588,0.75967747,0.28659898,0.07000518259214251,1.801099379107035,33
ARID1A,CDKN1A,Unknown,21900401,0.449580870898757,0.2153878489650451,0.72264576,0.5721349,0.19761852162188726,1.6027503025999923,34
ARID1A,SMAD3,Unknown,21900401,0.449580870898757,0.1865557231521782,0.72264576,0.24304646,0.050540442392871816,1.3458494159493826,35
ARID3A,PML,Activation,22010578,0.198424865853873,0.1412675255310239,0.30186972,0.16386989,0.015154398946491001,0.9423211364463007,36
ARID3A,RBL1,Unknown,23659165,0.198424865853873,0.0807225340619667,0.30186972,0.09347037,-0.016308955342844277,0.4028513071452267,37
ARNT,AHR,Unknown,18540824,0.1289903810489583,0.1982703197249447,0.1504624,0.39844927,0.11999395100469555,1.4502291715675015,38
ARNT,BHLHE40,Unknown,12354771,0.1289903810489583,0.2166736727577287,0.1504624,0.34329468,0.09534394762607835,1.61420728896863,39
ARNT,CTSD,Unknown,9611253,0.1289903810489583,0.5214262753150836,0.1504624,1.7028245,0.7029527550948824,4.329623221675415,40
ARNT,CYP1B1,Activation,16115918;19287966,0.1289903810489583,0.1523639375880771,0.1504624,0.40816274,0.1243351503195322,1.0411927255410358,41
ARNT,FOS,Repression,21544813,0.1289903810489583,0.5457703815437629,0.1504624,9.007235,3.9674814825100784,4.546534819365286,42
ARNT,HIF1A,Activation,14764593,0.1289903810489583,0.4284884152225255,0.1504624,1.1845853,0.47133834130027574,3.5015254665479234,43
