gene,mean_counts,detection_rate,zero_fraction
LINC01409,0.057505038,0.05357805197694603,0.946421948023054
NOC2L,0.24043952,0.20393288988887825,0.7960671101111217
PERM1,0.0,0.0,1.0
ENSG00000272512,0.0013785531,0.001304369328157065,0.998695630671843
HES4,0.183348,0.06966321307583145,0.9303367869241685
ISG15,1.0960567,0.4446724858439716,0.5553275141560283
AGRN,0.011634282,0.011127321282856735,0.9888726787171432
RNF223,0.0,0.0,1.0
C1ORF159,0.033969563,0.03237432308795702,0.9676256769120429
TNFRSF18,0.08136443,0.055655151949744956,0.9443448480502551
TNFRSF4,0.078625545,0.055877698375401984,0.944122301624598
SDF4,0.46692216,0.34470586780752965,0.6552941321924703
B3GALT6,0.100570194,0.09340149847927437,0.9065985015207256
UBE2J2,0.29900435,0.25212655473389445,0.7478734452661056
ACAP3,0.109170265,0.09834697460499164,0.9016530253950084
PUSL1,0.06499044,0.06147845008777051,0.9385215499122295
INTS11,0.22314967,0.1950619420883928,0.8049380579116072
CPTP,0.05323387,0.05114240498503301,0.948857595014967
DVL1,0.056126412,0.05362750673820315,0.9463724932617968
MXRA8,0.004531294,0.0038883806038426867,0.9961116193961573
AURKAIP1,0.881239,0.5379379837297109,0.4620620162702891
CCNL2,0.31614563,0.25664548354377875,0.7433545164562212
MRPL20,0.9746402,0.5564278825946118,0.44357211740538816
VWA1,0.0,0.0,1.0
ATAD3A,0.054247603,0.05112385944956159,0.9488761405504385
SSU72,1.014321,0.5834425459311605,0.4165574540688395
SSU72-AS1,0.049798228,0.044453648525007904,0.9555463514749921
FNDC10,0.036169752,0.034086694196484704,0.9659133058035153
ENSG00000272106,0.033802632,0.032448505229842696,0.9675514947701573
MIB2,0.19854248,0.16485126480548523,0.8351487351945148
MMP23B,0.045978695,0.040138720605324425,0.9598612793946756
CDK11B,0.4014296,0.3127642738804815,0.6872357261195186
SLC35E2B,0.13396053,0.12144852995724846,0.8785514700427516
CDK11A,0.5131997,0.38452313246480024,0.6154768675351998
SLC35E2A,0.06350043,0.0594817141020144,0.9405182858979856
NADK,0.36836264,0.24596325511222358,0.7540367448877764
GNB1,1.1105334,0.5622882718035473,0.43771172819645265
GABRD,0.00069854833,0.0006985485027571027,0.9993014514972429
PRKCZ,0.031701285,0.03034049603125756,0.9696595039687425
FAAP20,0.47900546,0.35782992507618133,0.6421700749238186
SKI,0.15535502,0.13669914195990285,0.8633008580400972
RER1,0.6074824,0.4119087065110211,0.5880912934889788
PEX10,0.038679022,0.03705397987191174,0.9629460201280883
PANK4,0.046064705,0.04385400954476536,0.9561459904552346
HES5,0.0,0.0,1.0
ENSG00000272449,0.21411207,0.17713459113270794,0.8228654088672921
TNFRSF14-AS1,0.034983113,0.0327761430231711,0.9672238569768289
TNFRSF14,0.6958624,0.4631932939348244,0.5368067060651756
PRXL2B,0.041478783,0.0394648994831962,0.9605351005168038
MMEL1,0.010638968,0.009897134096585254,0.9901028659034148
PRDM16,0.0006058208,0.000469820231942831,0.9995301797680571
ENSG00000272235,0.0,0.0,1.0
ARHGEF16,0.0,0.0,1.0
MEGF6,0.015108627,0.014731337009471176,0.9852686629905288
TPRG1L,0.15915935,0.14295516925892116,0.8570448307410788
WRAP73,0.120912835,0.11044484557752753,0.8895551544224725
SMIM1,0.017958531,0.016418980737371247,0.9835810192626288
LRRC47,0.13261229,0.119742340693876,0.880257659306124
CEP104,0.15130334,0.12946020128090044,0.8705397987190996
DFFB,0.046713706,0.04420637471872232,0.9557936252812776
C1ORF174,0.18616891,0.16077742884693477,0.8392225711530652
NPHP4,0.01566501,0.01513315694468548,0.9848668430553145
KCNAB2,0.45015466,0.32318686481545406,0.6768131351845459
RPL22,15.962904,0.9913206893969457,0.008679310603054269
ICMT,0.07331385,0.06681956430354402,0.9331804356964559
ACOT7,0.0329312,0.029580129076928956,0.970419870923071
TNFRSF25,0.1782134,0.1402598847704113,0.8597401152295887
PLEKHG5,0.003764761,0.0036349249523998364,0.9963650750476002
NOL9,0.1372115,0.12120743799611974,0.8787925620038802
ZBTB48,0.07194077,0.06744393066441583,0.9325560693355842
KLHL21,0.047455374,0.04455873989267928,0.9554412601073208
PHF13,0.031565316,0.02953067431567181,0.9704693256843282
THAP3,0.06978896,0.0661271976459436,0.9338728023540563
DNAJC11,0.07755552,0.07172794935831842,0.9282720506416816
CAMTA1,0.39696547,0.29824311960631156,0.7017568803936884
VAMP3,0.32550687,0.23178828416691827,0.7682117158330817
PER3,0.035613604,0.03221359511387139,0.9677864048861287
PARK7,1.8050679,0.7426992408684985,0.2573007591315015
ERRFI1,0.0048774667,0.0046487475581711854,0.9953512524418288
RERE,0.33396727,0.2567814841372363,0.7432185158627638
ENO1,2.2079372,0.7456108899374949,0.2543891100625051
GPR157,0.01572678,0.014527336119285453,0.9854726638807145
MIR34AHG,0.0010756409,0.000964367844514229,0.9990356321554857
H6PD,0.13724118,0.11841324398508948,0.8815867560149105
SPSB1,0.007399592,0.006892757350213824,0.9931072426497862
SLC25A33,0.09029905,0.08161890160975296,0.9183810983902471
PIK3CD,0.286577,0.2355715734030835,0.7644284265969166
CLSTN1,0.27208328,0.22497589080375802,0.775024109196242
CTNNBIP1,0.17935921,0.14933483346108212,0.8506651665389179
LZIC,0.2645559,0.21353329541790536,0.7864667045820947
NMNAT1,0.06282094,0.0567060656264587,0.9432939343735413
RBP7,0.5227767,0.207042358002916,0.792957641997084
UBE4B,0.14126876,0.12609727751542024,0.8739027224845798
KIF1B,0.16884385,0.13313221730423727,0.8668677826957627
PGD,0.51437026,0.26384115130671354,0.7361588486932864
CENPS,0.014719122,0.013637150416656843,0.9863628495833432
DFFA,0.17846234,0.14840137484235508,0.851598625157645
PEX14,0.04767151,0.04574565416285009,0.95425434583715
CASZ1,0.03396336,0.03162013797878598,0.9683798620212141
TARDBP,0.31992,0.25673821122113616,0.7432617887788638
SRM,0.35937896,0.274875744912245,0.725124255087755
EXOSC10,0.20233284,0.17278875398724364,0.8272112460127563
MTOR,0.12305104,0.11075393783538486,0.8892460621646151
UBIAD1,0.079348505,0.07374941272470535,0.9262505872752946
FBXO2,0.02923474,0.027552483865386012,0.972447516134614
